wanr,waid,ElemDN,RohrDN,WNStutzen,Rohstutzen,HandschwMuffe,winkel
149072,550376,32,32,1,0,0,0
149072,550377,32,32,1,0,0,0
149072,550378,32,32,1,0,0,0
149072,550378,32,32,1,0,0,180
149072,550379,32,32,2,0,0,180
149072,550380,32,32,1,0,0,180
149072,550381,32,32,1,0,0,0
149072,550382,32,32,2,0,0,0
149072,550383,32,32,1,0,0,180
149072,550384,32,32,2,0,0,180
149072,550385,32,32,1,0,0,0
149072,550385,32,32,1,0,0,180
149072,550386,32,32,2,0,0,0
149072,550387,32,32,1,0,0,180
149072,550388,32,32,1,0,0,0
149072,550389,32,32,2,0,0,180
149119,551087,40,40,13,0,0,180
149119,551090,40,40,24,0,0,180
149187,551829,40,40,30,0,0,180
149188,551830,32,40,30,0,0,180
149193,551903,50,50,22,0,0,180
149193,551904,50,50,2,0,0,180
149193,551905,50,50,22,0,0,180
149193,551906,50,50,6,0,0,180
149193,551907,50,50,2,0,0,180
149193,551908,50,50,2,0,0,180
149202,551966,32,32,1,0,0,270
149216,552065,40,40,2,0,0,0
149217,552066,40,40,8,0,0,0
149217,552067,40,40,2,0,0,0
149217,552068,40,40,2,0,0,0
149218,552069,40,40,2,0,0,0
149219,552070,40,40,8,0,0,0
149219,552071,40,40,2,0,0,0
149219,552072,40,40,2,0,0,0
149220,552073,40,40,8,0,0,0
149221,552074,40,40,2,0,0,0
149230,552305,32,32,1,0,0,90
149230,552308,32,32,1,0,0,90
149239,552498,32,32,1,0,0,180
149239,552499,32,32,10,0,0,180
149239,552500,32,32,11,0,0,180
149239,552501,32,32,1,0,0,270
149239,552501,32,32,1,0,0,180
149239,552502,32,32,1,0,0,180
149239,552503,32,32,2,0,0,180
149239,552504,32,32,1,0,0,180
149239,552505,32,32,1,0,0,180
149242,552511,32,32,2,0,0,180
149242,552512,32,32,1,0,0,180
149242,552515,32,32,1,0,0,180
149242,552516,32,32,4,0,0,180
149242,552517,32,32,12,0,0,180
149242,552521,32,32,1,0,0,270
149245,552576,32,32,6,0,0,180
