wanr,waid,ElemDN,RohrDN,WNStutzen,Rohstutzen,HandschwMuffe,winkel
149765,561856,0,40,5,0,0,180
81511,561921,0,40,12,0,0,0
81511,561922,0,40,24,0,0,0
81511,561923,0,40,6,0,0,0
149658,560052,0,65,53,0,0,0
149658,560051,0,65,53,0,0,0
149858,563109,0,40,4,0,0,180
149858,563110,0,40,2,0,0,180
149858,563111,0,40,12,0,0,180
149858,563112,0,40,6,0,0,180
149865,563164,0,32,12,0,0,180
149865,563163,0,32,15,0,0,180
149865,563165,0,32,5,0,0,180
149864,563160,0,32,1,0,0,180
149864,563158,0,32,29,0,0,180
149864,563161,0,32,2,0,0,180
149871,563254,0,32,16,0,0,180
149871,563252,0,32,16,0,0,180
149879,563361,0,50,24,0,0,180
149815,562494,0,32,2,0,0,0
149815,562479,0,32,2,0,0,0
149815,562478,0,32,6,0,0,0
149815,562477,0,32,9,0,0,0
149815,562488,0,32,1,0,0,90
149815,562487,0,32,4,0,0,0
149815,562486,0,32,5,0,0,0
149815,562492,0,32,3,0,0,0
149815,562498,0,32,3,0,0,0
149815,562493,0,32,2,0,0,0
149815,562475,0,32,2,0,0,0
149815,562474,0,32,2,0,0,0
149815,562497,0,32,2,0,0,0
149815,562496,0,32,2,0,0,0
149815,562499,0,32,2,0,0,0
149815,562495,0,32,2,0,0,0
149815,562485,0,32,3,0,0,0
149815,562491,0,32,1,0,0,180
149815,562480,0,32,1,0,0,0
149815,562502,0,32,1,0,0,0
149815,562501,0,32,2,0,0,0
149815,562484,0,32,3,0,0,0
149815,562481,0,32,1,0,0,270
149815,562476,0,32,9,0,0,0
149815,562500,0,32,3,0,0,0
149815,562490,0,32,1,0,0,180
149815,562483,0,32,4,0,0,0
149815,562482,0,32,1,0,0,90
149820,562583,0,50,1,0,0,90
149820,562583,0,50,1,0,0,90
149820,562583,0,50,1,0,0,270
149820,562607,0,50,1,0,0,90
149820,562607,0,50,1,0,0,270
149821,562588,0,40,1,0,0,180
149821,562606,0,40,1,0,0,180
149821,562604,0,40,2,0,0,180
149821,562601,0,40,1,0,0,180
149821,562602,0,40,1,0,0,180
149821,562603,0,40,10,0,0,180
149821,562593,0,40,2,0,0,180
149821,562594,0,40,18,0,0,180
149821,562586,0,40,1,0,0,180
149821,562585,0,40,1,0,0,180
149821,562589,0,40,13,0,0,180
149821,562584,0,40,18,0,0,180
149821,562596,0,40,1,0,0,180
149821,562597,0,40,1,0,0,180
149821,562600,0,40,16,0,0,180
149821,562599,0,40,1,0,0,180
149821,562598,0,40,1,0,0,180
149821,562605,0,40,3,0,0,180
149821,562590,0,40,1,0,0,180
149830,562674,0,32,1,0,0,180
149830,562673,0,32,14,0,0,180
149830,562675,0,32,2,0,0,180
149833,562692,0,32,12,0,0,180
149833,562693,0,32,5,0,0,180
149834,562694,0,50,32,0,0,180
149837,562747,0,32,1,0,0,180
149837,562745,0,32,1,0,0,180
149837,562744,0,32,1,0,0,180
149837,562743,0,32,2,0,0,180
149837,562742,0,32,2,0,0,180
149837,562741,0,32,3,0,0,180
149837,562740,0,32,3,0,0,180
149837,562746,0,32,2,0,0,180
149839,562797,0,50,2,0,0,180
149839,562796,0,50,1,0,0,180
149841,562860,0,32,1,0,0,180
149841,562859,0,32,1,0,0,180
149841,562861,0,32,1,0,0,0
149841,562858,0,32,1,0,0,0
149851,563009,0,32,2,0,0,180
149854,563016,0,32,16,0,0,180
149854,563015,0,32,11,0,0,180
149882,563481,0,40,2,0,0,180
149885,563536,0,40,4,0,0,180
149885,563535,0,40,2,0,0,180
149885,563538,0,40,2,0,0,180
149885,563539,0,40,3,0,0,180
149885,563541,0,40,1,0,0,180
149885,563540,0,40,2,0,0,180
149885,563537,0,40,2,0,0,180
149899,563774,0,50,1,0,0,0
149899,563770,0,50,37,0,0,0
149899,563775,0,50,1,0,0,0
149899,563772,0,50,5,0,0,0
149899,563771,0,50,1,0,0,0
149899,563773,0,50,3,0,0,0
149899,563776,0,50,1,0,0,0
149901,563799,0,50,24,0,0,180
149901,563798,0,50,24,0,0,180
149904,563823,0,50,6,0,0,180
149904,563819,0,50,14,0,0,180
149904,563818,0,50,14,0,0,180
149904,563821,0,50,6,0,0,180
149907,563852,0,32,4,0,0,180
149907,563851,0,32,28,0,0,180
149907,563850,0,32,2,0,0,180
149919,563968,0,50,8,0,0,180
149919,563967,0,50,4,0,0,180
149946,564239,0,40,1,0,0,180
149946,564236,0,40,1,0,0,180
149946,564240,0,40,1,0,0,180
149946,564238,0,40,3,0,0,180
149946,564237,0,40,1,0,0,180
149946,564241,0,40,1,0,0,180
149947,564249,0,40,1,0,0,180
149947,564252,0,40,1,0,0,180
149947,564253,0,40,1,0,0,180
149947,564244,0,40,15,0,0,180
149947,564242,0,40,6,0,0,180
149947,564251,0,40,6,0,0,180
149947,564248,0,40,15,0,0,180
149947,564243,0,40,15,0,0,180
149947,564247,0,40,1,0,0,270
149947,564246,0,40,1,0,0,180
149947,564245,0,40,5,0,0,180
149947,564250,0,40,6,0,0,180
149951,564308,0,50,4,0,0,180
149951,564307,0,50,2,0,0,180
149951,564305,0,50,1,0,0,180
149951,564306,0,50,5,0,0,180
149995,565001,0,32,20,0,0,180
149996,565002,0,32,6,0,0,180
149996,565003,0,32,6,0,0,180
149996,565004,0,32,2,0,0,180
149957,564380,0,32,3,0,0,180
149957,564377,0,32,3,0,0,180
149957,564379,0,32,1,0,0,180
149957,564376,0,32,3,0,0,180
149957,564375,0,32,1,0,0,180
149957,564378,0,32,1,0,0,180
149968,564508,0,40,1,0,0,270
149970,564518,0,40,1,0,0,90
149975,564568,0,40,1,0,0,270
149975,564567,0,40,1,0,0,90
150060,566177,0,32,5,0,0,0
150060,566178,0,32,1,0,0,0
150060,566179,0,32,3,0,0,0
150060,566180,0,32,9,0,0,0
150060,566181,0,32,6,0,0,0
150060,566182,0,32,3,0,0,0
150060,566183,0,32,1,0,0,0
150060,566184,0,32,1,0,0,0
150060,566185,0,32,1,0,0,0
150060,566186,0,32,4,0,0,180
150060,566187,0,32,2,0,0,180
150060,566188,0,32,1,0,0,180
150060,566189,0,32,1,0,0,180
150060,566190,0,32,8,0,0,0
150060,566191,0,32,5,0,0,0
150060,566192,0,32,3,0,0,0
150060,566193,0,32,6,0,0,0
150060,566194,0,32,4,0,0,0
150060,566195,0,32,4,0,0,0
150060,566196,0,32,1,0,0,90
150060,566196,0,32,1,0,0,0
150060,566197,0,32,1,0,0,0
150060,566198,0,32,1,0,0,270
150060,566199,0,32,2,0,0,0
150060,566200,0,32,1,0,0,0
150060,566201,0,32,1,0,0,270
150060,566202,0,32,1,0,0,270
150060,566203,0,32,1,0,0,270
150060,566204,0,32,1,0,0,270
150060,566205,0,32,1,0,0,270
150062,566213,0,32,2,0,0,180
150062,566214,0,32,1,0,0,90
150070,566335,0,32,1,0,0,0
150104,567229,0,50,3,0,0,180
150104,567230,0,50,2,0,0,180
150104,567231,0,50,3,0,0,180
149955,564333,0,40,3,0,0,180
149955,564334,0,40,3,0,0,180
149955,564332,0,40,51,0,0,180
150048,565876,0,32,8,0,0,180
150048,565875,0,32,5,0,0,180
150048,565874,0,32,7,0,0,180
150051,565936,0,40,14,0,0,180
150053,565939,0,32,12,0,0,180
150064,566227,0,32,3,0,0,90
150134,567752,0,32,7,0,0,180
