wanr,waid,classid,sdauftragsnr,sdpositionsnr,sdmaterialnr,kcauftragsnr,kcposnr,pspelement,posnr,dnvl,Rohrlaenge,rohrquali,Rohranfang,Rohrende,strdeleid,Rohrdurchmesser,AnzahlRohre,beschbez,Nippel,Bohrung,Muffe
82938,578175,VerteilerData,869638,30,400010,4200306371,30,1030090000,P3,32,955,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,32,4,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,4
82938,578186,VerteilerData,869638,30,400010,4200306371,30,1030090000,P25,50,980,"DINEN10217-1-Fe -glatt",Nut,Scheibe,NULL,50,2,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,2
82938,578178,VerteilerData,869638,30,400010,4200306371,30,1030090000,P5,32,1075,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,32,2,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,2
82938,578187,VerteilerData,869638,30,400010,4200306371,30,1030090000,P28,50,1130,"DINEN10217-1-Fe -glatt",Nut,Scheibe,NULL,50,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
82939,578248,VerteilerData,869724,10,400010,4200306457,10,0000000000,1,150,2752,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,150,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,2
82944,578339,VerteilerData,869810,10,400010,4200306494,10,1030426000,BS5,32,998,"DINEN10217-1-Fe -glatt",Scheibe,Nut,NULL,32,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
82944,578341,VerteilerData,869810,10,400010,4200306494,10,1030426000,BS12,32,1355,"DINEN10217-1-Fe -glatt",Scheibe,Nut,NULL,32,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
82944,578342,VerteilerData,869810,10,400010,4200306494,10,1030426000,BS13,32,3838,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,32,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,2
82944,578340,VerteilerData,869810,10,400010,4200306494,10,1030426000,BS11,32,3838,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,32,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,2
82951,578417,VerteilerData,869813,40,400010,4200306426,40,1031088000,20,125,4106,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,125,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,2
82951,578416,VerteilerData,869813,40,400010,4200306426,40,1031088000,18,125,5346,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,125,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,2
82951,578411,VerteilerData,869813,40,400010,4200306426,40,1031088000,6,125,5632,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,125,2,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,4
82951,578412,VerteilerData,869813,40,400010,4200306426,40,1031088000,7,125,5996,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,125,2,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,4
82951,578415,VerteilerData,869813,40,400010,4200306426,40,1031088000,17,125,6506,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,125,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,2
82951,578413,VerteilerData,869813,40,400010,4200306426,40,1031088000,8,125,6510,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,125,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,2
82951,578409,VerteilerData,869813,40,400010,4200306426,40,1031088000,4,125,7196,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,125,2,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,4
82951,578414,VerteilerData,869813,40,400010,4200306426,40,1031088000,11,125,7872,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,125,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,3
82951,578408,VerteilerData,869813,40,400010,4200306426,40,1031088000,2,125,8396,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,125,2,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,6
82951,578410,VerteilerData,869813,40,400010,4200306426,40,1031088000,5,125,8512,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,125,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,3
82952,578418,VerteilerData,869813,50,400010,4200306426,50,1031088000,9,32,818,"DINEN10255-Fe -glatt Gewinderohr",Gewinde,Nut,NULL,32,8,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,8
82952,578421,VerteilerData,869813,50,400010,4200306426,50,1031088000,15,50,2618,"DINEN10255-Fe -glatt Gewinderohr",Nut,Nut,NULL,50,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
82952,578420,VerteilerData,869813,50,400010,4200306426,50,1031088000,14,50,5998,"DINEN10255-Fe -glatt Gewinderohr",Nut,Nut,NULL,50,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,2
82952,578419,VerteilerData,869813,50,400010,4200306426,50,1031088000,13,50,6274,"DINEN10255-Fe -glatt Gewinderohr",Gewinde,Nut,NULL,50,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,2
82953,578456,VerteilerData,4420019105,660,400041,4200305933,660,0000000000,1,150,4000,"DINEN10217-1-Fe -glatt",Boden,Boden,NULL,150,1,verzinkt,0,0,1
82954,578517,VerteilerData,869260,10,400040,4200306027,10,0000000000,1,300,708,"DINEN10217-1-Fe -glatt",Flachflansch,Flachflansch,NULL,300,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",1,0,0
82955,578434,VerteilerData,869850,10,400010,4200306531,10,1030782000,R7,100,2488,"DINEN10217-1-Fe -glatt",Glatt,Nut,NULL,100,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
